"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Pago DEUDOR  por archivo SFTP","","0","0","0","9","0"
"","Funciones basicas de selenium con BDD","","0","0","0","8","0"
"","Pago deuda manual","","0","0","2","40","0"
"","Pago DEUDA  por archivo Sftp","","0","0","0","9","0"
"","Pago DEUDA por Archivo OBE","","0","0","0","9","0"
"","Pago DEUDOR por archivo OBE","","0","0","0","9","0"
"","Pago DEUDA manual por OBE","","0","0","0","9","0"
"","ECOI-1115","","0","0","10","2","0"
"","Valida comprobante vencido y comprobante no existente","","0","0","0","2","0"
"","Pago deuda manual modalidad de pago abierta 1","","0","1","1","0","0"
"","Publicacion deuda manual","","0","0","1","0","0"
